DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
FRA,2023-07-06,14:30,2023-07-06,15:08,DP,Flight Departed,IKA,2023-07-06,21:00,2023-07-06,21:44,LD,Flight Landed,LH,600,343,,
IKA,2023-07-06,01:45,2023-07-06,01:39,DP,Flight Departed,FRA,2023-07-06,05:45,2023-07-06,05:35,LD,Flight Landed,LH,601,343,,
FRA,2023-07-06,13:55,2023-07-06,14:19,DP,Flight Departed,GYD,2023-07-06,20:40,2023-07-06,20:52,LD,Flight Landed,LH,612,32N,,
FRA,2023-07-06,13:35,2023-07-06,14:26,DP,Flight Departed,KWI,2023-07-06,20:10,2023-07-06,21:13,LD,Flight Landed,LH,624,333,,
KWI,2023-07-06,21:00,2023-07-06,21:56,DP,Flight Departed,DMM,2023-07-06,22:10,2023-07-06,23:18,LD,Flight Landed,LH,624,333,,
KWI,2023-07-06,01:45,2023-07-06,01:45,DP,Flight Departed,FRA,2023-07-06,07:05,2023-07-06,06:48,LD,Flight Landed,LH,625,333,,
DMM,2023-07-06,23:40,2023-07-07,00:29,DP,Flight Departed,KWI,2023-07-07,00:45,2023-07-07,01:36,LD,Flight Landed,LH,625,333,,
FRA,2023-07-06,14:10,2023-07-06,14:52,DP,Flight Departed,DXB,2023-07-06,22:35,2023-07-06,23:27,LD,Flight Landed,LH,630,333,,
DXB,2023-07-06,00:50,2023-07-06,01:07,DP,Flight Departed,FRA,2023-07-06,05:45,2023-07-06,05:47,LD,Flight Landed,LH,631,333,,
FRA,2023-07-06,13:10,2023-07-06,14:05,DP,Flight Departed,RUH,2023-07-06,19:55,2023-07-06,21:00,LD,Flight Landed,LH,636,333,,
RUH,2023-07-06,20:45,2023-07-06,21:55,DP,Flight Departed,BAH,2023-07-06,22:00,2023-07-06,23:02,LD,Flight Landed,LH,636,333,,
RUH,2023-07-06,01:55,2023-07-06,02:03,DP,Flight Departed,FRA,2023-07-06,07:20,2023-07-06,07:00,LD,Flight Landed,LH,637,333,,
NQZ,2023-07-06,00:10,2023-07-06,00:44,DP,Flight Departed,ALA,2023-07-06,01:55,2023-07-06,02:30,LD,Flight Landed,LH,646,333,,
ALA,2023-07-06,04:00,2023-07-06,04:17,DP,Flight Departed,FRA,2023-07-06,08:15,2023-07-06,08:12,LD,Flight Landed,LH,647,333,,
HAM,2023-07-06,06:00,,06:04,DP,Flight Departed,FRA,2023-07-06,07:10,2023-07-06,07:09,LD,Flight Landed,LH,001,32A,,
HAM,2023-07-06,07:00,,07:01,DP,Flight Departed,FRA,2023-07-06,08:10,2023-07-06,08:10,LD,Flight Landed,LH,005,32M,,
HAM,2023-07-06,07:30,,07:30,DP,Flight Departed,FRA,2023-07-06,08:40,2023-07-06,08:40,LD,Flight Landed,LH,007,320,,
HAM,2023-07-06,08:30,,08:27,DP,Flight Departed,FRA,2023-07-06,09:40,2023-07-06,09:36,LD,Flight Landed,LH,009,320,,
HAM,2023-07-06,09:30,,09:41,DP,Flight Departed,FRA,2023-07-06,10:40,2023-07-06,10:44,LD,Flight Landed,LH,011,32A,,
HAM,2023-07-06,10:00,,10:02,DP,Flight Departed,FRA,2023-07-06,11:10,2023-07-06,11:14,LD,Flight Landed,LH,013,321,,
HAM,2023-07-06,11:00,,11:30,DP,Flight Departed,FRA,2023-07-06,12:10,2023-07-06,12:41,LD,Flight Landed,LH,015,32M,,
HAM,2023-07-06,14:00,,14:06,DP,Flight Departed,FRA,2023-07-06,15:10,2023-07-06,15:12,LD,Flight Landed,LH,021,320,,
HAM,2023-07-06,15:00,,14:58,DP,Flight Departed,FRA,2023-07-06,16:10,2023-07-06,15:59,LD,Flight Landed,LH,023,32A,,
HAM,2023-07-06,17:00,,17:23,DP,Flight Departed,FRA,2023-07-06,18:10,2023-07-06,18:27,LD,Flight Landed,LH,027,321,,
HAM,2023-07-06,18:00,,18:53,DP,Flight Departed,FRA,2023-07-06,19:10,2023-07-06,19:51,LD,Flight Landed,LH,029,321,,
HAM,2023-07-06,20:00,,20:32,DP,Flight Departed,FRA,2023-07-06,21:10,2023-07-06,21:27,LD,Flight Landed,LH,033,321,,
FRA,2023-07-06,06:30,,06:34,DP,Flight Departed,HAM,2023-07-06,07:40,2023-07-06,07:38,LD,Flight Landed,LH,002,320,,
FRA,2023-07-06,07:30,,07:35,DP,Flight Departed,HAM,2023-07-06,08:40,2023-07-06,08:35,LD,Flight Landed,LH,004,32A,,
FRA,2023-07-06,08:00,,08:00,DP,Flight Departed,HAM,2023-07-06,09:10,2023-07-06,09:04,LD,Flight Landed,LH,006,321,,
FRA,2023-07-06,09:00,,09:18,DP,Flight Departed,HAM,2023-07-06,10:10,2023-07-06,10:21,LD,Flight Landed,LH,008,32M,,
FRA,2023-07-06,12:00,,12:14,DP,Flight Departed,HAM,2023-07-06,13:10,2023-07-06,13:16,LD,Flight Landed,LH,014,320,,
FRA,2023-07-06,13:00,,,NO,No Status,HAM,2023-07-06,14:10,,,NO,No Status,LH,016,32A,,
FRA,2023-07-06,15:00,,15:26,DP,Flight Departed,HAM,2023-07-06,16:10,2023-07-06,16:31,LD,Flight Landed,LH,020,321,,
FRA,2023-07-06,16:00,,16:58,DP,Flight Departed,HAM,2023-07-06,17:10,2023-07-06,17:59,LD,Flight Landed,LH,022,321,,
FRA,2023-07-06,18:00,,18:33,DP,Flight Departed,HAM,2023-07-06,19:10,2023-07-06,19:43,LD,Flight Landed,LH,028,321,,
FRA,2023-07-06,19:00,,19:38,DP,Flight Departed,HAM,2023-07-06,20:10,2023-07-06,20:47,LD,Flight Landed,LH,030,321,,
FRA,2023-07-06,20:30,,20:43,DP,Flight Departed,HAM,2023-07-06,21:40,2023-07-06,21:46,LD,Flight Landed,LH,036,320,,
FRA,2023-07-06,21:30,,21:33,DP,Flight Departed,HAM,2023-07-06,22:35,2023-07-06,22:37,LD,Flight Landed,LH,034,320,,
FRA,2023-07-06,06:15,,06:14,DP,Flight Departed,BER,2023-07-06,07:25,2023-07-06,07:18,LD,Flight Landed,LH,172,321,,
FRA,2023-07-06,06:45,,06:50,DP,Flight Departed,BER,2023-07-06,07:55,2023-07-06,07:54,LD,Flight Landed,LH,170,319,,
FRA,2023-07-06,07:45,,07:47,DP,Flight Departed,BER,2023-07-06,08:55,2023-07-06,08:53,LD,Flight Landed,LH,174,32Q,,
FRA,2023-07-06,08:45,,08:54,DP,Flight Departed,BER,2023-07-06,09:55,2023-07-06,10:08,LD,Flight Landed,LH,176,321,,
FRA,2023-07-06,09:45,,10:02,DP,Flight Departed,BER,2023-07-06,10:55,2023-07-06,11:07,LD,Flight Landed,LH,178,321,,
FRA,2023-07-06,11:45,,12:14,DP,Flight Departed,BER,2023-07-06,12:55,2023-07-06,13:18,LD,Flight Landed,LH,182,32Q,,
FRA,2023-07-06,12:45,,13:10,DP,Flight Departed,BER,2023-07-06,13:55,2023-07-06,14:14,LD,Flight Landed,LH,184,321,,
FRA,2023-07-06,15:45,,16:18,DP,Flight Departed,BER,2023-07-06,16:55,2023-07-06,17:16,LD,Flight Landed,LH,190,32Q,,
FRA,2023-07-06,16:45,,16:49,DP,Flight Departed,BER,2023-07-06,17:55,2023-07-06,17:54,LD,Flight Landed,LH,192,32M,,
FRA,2023-07-06,17:45,,17:58,DP,Flight Departed,BER,2023-07-06,18:55,2023-07-06,18:55,LD,Flight Landed,LH,194,32Q,,
FRA,2023-07-06,19:45,,20:15,DP,Flight Departed,BER,2023-07-06,20:55,2023-07-06,21:23,LD,Flight Landed,LH,200,32A,,
FRA,2023-07-06,20:15,,20:27,DP,Flight Departed,BER,2023-07-06,21:25,2023-07-06,21:31,LD,Flight Landed,LH,044,32Q,,
BER,2023-07-06,06:45,,,NO,No Status,FRA,2023-07-06,07:55,,,NO,No Status,LH,173,321,,
BER,2023-07-06,07:15,,07:40,DP,Flight Departed,FRA,2023-07-06,08:25,2023-07-06,08:49,LD,Flight Landed,LH,045,32M,,
BER,2023-07-06,07:45,,07:41,DP,Flight Departed,FRA,2023-07-06,08:55,2023-07-06,08:54,LD,Flight Landed,LH,175,32M,,
BER,2023-07-06,08:15,,08:09,DP,Flight Departed,FRA,2023-07-06,09:25,2023-07-06,09:28,LD,Flight Landed,LH,179,321,,
BER,2023-07-06,08:45,,08:44,DP,Flight Departed,FRA,2023-07-06,09:55,2023-07-06,09:49,LD,Flight Landed,LH,177,319,,
BER,2023-07-06,09:45,,09:47,DP,Flight Departed,FRA,2023-07-06,10:55,2023-07-06,11:17,LD,Flight Landed,LH,181,32Q,,
BER,2023-07-06,10:45,,10:56,DP,Flight Departed,FRA,2023-07-06,11:55,2023-07-06,12:11,LD,Flight Landed,LH,183,321,,
BER,2023-07-06,11:45,,11:59,DP,Flight Departed,FRA,2023-07-06,12:55,2023-07-06,13:02,LD,Flight Landed,LH,185,321,,
BER,2023-07-06,13:45,,14:06,DP,Flight Departed,FRA,2023-07-06,14:55,2023-07-06,15:09,LD,Flight Landed,LH,189,32Q,,
BER,2023-07-06,14:45,,15:24,DP,Flight Departed,FRA,2023-07-06,15:55,2023-07-06,16:34,LD,Flight Landed,LH,191,321,,
BER,2023-07-06,17:45,,18:07,DP,Flight Departed,FRA,2023-07-06,18:55,2023-07-06,19:04,LD,Flight Landed,LH,197,32Q,,
BER,2023-07-06,18:45,,18:57,DP,Flight Departed,FRA,2023-07-06,19:55,2023-07-06,19:57,LD,Flight Landed,LH,199,32M,,
BER,2023-07-06,19:45,,20:04,DP,Flight Departed,FRA,2023-07-06,20:55,2023-07-06,21:11,LD,Flight Landed,LH,201,32Q,,
