DepAirportCode,DepSchedDate,DepSchedTime,DepActualDate,DepActualTime,DepStatusCode,DepStatusDesc,ArrivalAirportCode,ArrSchedDate,ArrSchedTime,ArrActualDate,ArrActualTime,ArrStatusCode,ArrStatusDesc,OpAirlineID,OpFlightNumber,AircraftCode,MarkAirlineID,MarkFlightNumber
YVR,2023-07-18,18:25,2023-07-18,18:25,OT,Flight On Time,MUC,2023-07-19,13:10,2023-07-19,13:10,OT,Flight On Time,LH,477,35S,AC,9432
FRA,2023-07-18,14:20,2023-07-18,14:50,DP,Flight Departed,YUL,2023-07-18,16:05,2023-07-18,16:22,LD,Flight Landed,LH,478,78S,AC,9633
YUL,2023-07-18,18:05,2023-07-18,18:55,DP,Flight Departed,FRA,2023-07-19,07:05,2023-07-19,07:18,OT,Flight On Time,LH,479,78S,AC,9634
MUC,2023-07-18,11:55,2023-07-18,12:14,DP,Flight Departed,DEN,2023-07-18,14:25,2023-07-18,14:42,LD,Flight Landed,LH,480,359,UA,9459
DEN,2023-07-18,16:10,2023-07-18,16:19,DP,Flight Departed,MUC,2023-07-19,09:50,2023-07-19,09:44,OT,Flight On Time,LH,481,359,UA,9458
FRA,2023-07-18,10:45,2023-07-18,11:16,DP,Flight Departed,SEA,2023-07-18,12:20,2023-07-18,12:33,LD,Flight Landed,LH,490,333,,
SEA,2023-07-18,14:20,2023-07-18,14:47,DP,Flight Departed,FRA,2023-07-19,09:20,2023-07-19,09:28,OT,Flight On Time,LH,491,333,,
FRA,2023-07-18,13:20,2023-07-18,13:50,DP,Flight Departed,YVR,2023-07-18,14:15,2023-07-18,14:32,LD,Flight Landed,LH,492,744,,
YVR,2023-07-18,16:25,,,DL,Flight Delayed,FRA,2023-07-19,10:55,2023-07-19,11:01,OT,Flight On Time,LH,493,744,,
MUC,2023-07-18,15:50,2023-07-18,16:07,DP,Flight Departed,YYZ,2023-07-18,18:40,2023-07-18,18:55,LD,Flight Landed,LH,494,359,AC,9603
YYZ,2023-07-18,20:30,2023-07-18,20:40,OT,Flight On Time,MUC,2023-07-19,10:15,2023-07-19,09:48,FE,Flight Early,LH,495,359,AC,9614
FRA,2023-07-18,13:35,2023-07-18,14:09,DP,Flight Departed,MEX,2023-07-18,17:30,2023-07-18,17:45,OT,Flight On Time,LH,498,74H,,
MEX,2023-07-18,19:50,2023-07-18,19:50,OT,Flight On Time,FRA,2023-07-19,14:45,2023-07-19,14:45,OT,Flight On Time,LH,499,74H,,
MUC,2023-07-18,12:15,2023-07-18,12:53,DP,Flight Departed,GIG,2023-07-18,19:05,2023-07-18,19:28,LD,Flight Landed,LH,500,359,,
GIG,2023-07-18,20:50,,,DL,Flight Delayed,MUC,2023-07-19,13:15,2023-07-19,13:12,OT,Flight On Time,LH,501,359,,
FRA,2023-07-18,22:05,2023-07-18,22:14,DP,Flight Departed,GRU,2023-07-19,04:50,2023-07-19,04:43,OT,Flight On Time,LH,506,74H,,
GRU,2023-07-18,18:15,2023-07-18,18:28,DP,Flight Departed,FRA,2023-07-19,10:45,2023-07-19,10:47,OT,Flight On Time,LH,507,74H,,
FRA,2023-07-18,21:40,2023-07-18,21:55,DP,Flight Departed,EZE,2023-07-19,06:25,2023-07-19,06:28,OT,Flight On Time,LH,510,74H,,
EZE,2023-07-18,16:45,2023-07-18,16:36,DP,Flight Departed,FRA,2023-07-19,11:00,2023-07-19,10:24,FE,Flight Early,LH,511,74H,,
FRA,2023-07-18,13:55,2023-07-18,14:00,DP,Flight Departed,SJO,2023-07-18,17:55,2023-07-18,17:45,OT,Flight On Time,LH,518,343,,
SJO,2023-07-18,19:45,2023-07-18,19:45,OT,Flight On Time,FRA,2023-07-19,15:05,2023-07-19,15:05,OT,Flight On Time,LH,519,343,,
FRA,2023-07-18,14:35,2023-07-18,15:26,DP,Flight Departed,BOG,2023-07-18,18:55,2023-07-18,19:53,DL,Flight Delayed,LH,542,346,,
BOG,2023-07-18,23:30,2023-07-18,23:30,OT,Flight On Time,FRA,2023-07-19,17:40,2023-07-19,17:40,OT,Flight On Time,LH,543,346,,
FRA,2023-07-18,22:00,2023-07-18,22:07,DP,Flight Departed,LAD,2023-07-19,05:30,2023-07-19,05:18,OT,Flight On Time,LH,560,343,,
FRA,2023-07-18,11:15,2023-07-18,12:12,DP,Flight Departed,LOS,2023-07-18,16:45,2023-07-18,17:38,LD,Flight Landed,LH,568,333,,
LOS,2023-07-18,17:30,2023-07-18,18:15,DP,Flight Departed,SSG,2023-07-18,19:05,2023-07-18,19:48,LD,Flight Landed,LH,568,333,,
SSG,2023-07-18,20:20,2023-07-18,21:06,DP,Flight Departed,LOS,2023-07-18,21:50,2023-07-18,22:24,LD,Flight Landed,LH,569,333,,
LOS,2023-07-18,23:00,2023-07-18,23:44,DP,Flight Departed,FRA,2023-07-19,06:30,2023-07-19,06:50,DL,Flight Delayed,LH,569,333,,
FRA,2023-07-18,22:05,2023-07-18,22:23,DP,Flight Departed,JNB,2023-07-19,08:30,2023-07-19,08:48,DL,Flight Delayed,LH,572,74H,,
JNB,2023-07-18,19:00,2023-07-18,19:00,DP,Flight Departed,FRA,2023-07-19,05:35,2023-07-19,05:34,OT,Flight On Time,LH,573,74H,,
FRA,2023-07-18,10:15,2023-07-18,10:37,DP,Flight Departed,CAI,2023-07-18,15:20,2023-07-18,15:34,LD,Flight Landed,LH,582,32Q,,
MUC,2023-07-18,21:30,2023-07-18,22:14,DP,Flight Departed,CAI,2023-07-19,02:10,2023-07-19,02:54,DL,Flight Delayed,LH,586,32M,,
CAI,2023-07-18,03:10,2023-07-18,03:36,DP,Flight Departed,MUC,2023-07-18,06:05,2023-07-18,06:27,LD,Flight Landed,LH,587,32M,,
FRA,2023-07-18,11:25,2023-07-18,11:46,DP,Flight Departed,NBO,2023-07-18,21:30,2023-07-18,21:26,LD,Flight Landed,LH,590,333,,
NBO,2023-07-18,23:15,2023-07-18,23:15,DP,Flight Departed,FRA,2023-07-19,07:30,2023-07-19,07:08,FE,Flight Early,LH,591,333,,
FRA,2023-07-18,11:15,2023-07-18,11:43,DP,Flight Departed,ABV,2023-07-18,16:20,2023-07-18,16:58,LD,Flight Landed,LH,594,343,,
ABV,2023-07-18,17:05,2023-07-18,18:06,DP,Flight Departed,PHC,2023-07-18,18:15,2023-07-18,19:16,LD,Flight Landed,LH,594,343,UA,9002
PHC,2023-07-18,20:00,2023-07-18,20:26,DP,Flight Departed,ABV,2023-07-18,21:10,2023-07-18,21:33,LD,Flight Landed,LH,595,343,UA,9021
ABV,2023-07-18,22:20,2023-07-18,22:55,DP,Flight Departed,FRA,2023-07-19,05:30,2023-07-19,05:34,OT,Flight On Time,LH,595,343,,
FRA,2023-07-18,14:30,2023-07-18,14:46,DP,Flight Departed,IKA,2023-07-18,21:00,2023-07-18,21:04,LD,Flight Landed,LH,600,343,,
IKA,2023-07-18,01:45,2023-07-18,01:40,DP,Flight Departed,FRA,2023-07-18,05:45,2023-07-18,05:37,LD,Flight Landed,LH,601,343,,
FRA,2023-07-18,13:50,2023-07-18,14:08,DP,Flight Departed,GYD,2023-07-18,20:35,2023-07-18,20:31,LD,Flight Landed,LH,612,321,,
FRA,2023-07-18,13:35,2023-07-18,13:50,DP,Flight Departed,KWI,2023-07-18,20:10,2023-07-18,20:32,LD,Flight Landed,LH,624,333,,
KWI,2023-07-18,21:00,2023-07-18,21:08,DP,Flight Departed,DMM,2023-07-18,22:10,2023-07-18,22:10,LD,Flight Landed,LH,624,333,,
KWI,2023-07-18,01:45,2023-07-18,01:42,DP,Flight Departed,FRA,2023-07-18,07:05,2023-07-18,07:09,LD,Flight Landed,LH,625,333,,
